"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC015436",0.0805462392953039,4.6521722013709,0.832899054014056,0.406874283510689,0.672349476036383,-6.07271116863624
"TC003408",-0.0406455352679753,3.52555377888604,-0.465821494849212,0.642350035762595,0.832376305650493,-6.07312667207406
"TC007305",-0.068200151088611,5.43868730274144,-0.971624901107817,0.333567095601501,0.609292605342196,-6.07337706501256
"TC011210",-0.0423054664975217,5.04680972013601,-0.923415805329555,0.357999630638721,0.632094289297913,-6.07372337879472
"TC003178",-0.28521564563011,3.80990912364857,-0.623077979282599,0.534642997421815,0.762820872791343,-6.07385680539377
"TC012765",-0.0379138587147231,3.52126676056621,-0.411329142831649,0.681705986264577,0.855242696584078,-6.0738849240946
"TC001254",0.00853658260843276,3.20713847995842,0.0831707400732871,0.933881014070254,0.970768008764345,-6.07402980983171
"TC006460",0.0440963192003183,5.45851764809266,0.975987152943691,0.331411442797291,0.607341764884638,-6.07403722395815
"TC001922",0.0435246610254242,4.32631634674407,0.760420064167185,0.448781723126296,0.70468695306863,-6.07438992551784
"TC004376",0.0104625036456346,3.22324419993957,0.181516341670809,0.856327457731616,0.938118856231928,-6.07477760973179
"TC006769",-0.293720271765043,4.13397182233,-0.536222935153689,0.592987966443874,0.803122111291097,-6.07520524624047
"TC003420",0.0431832848486813,4.41695053650892,0.788274699640458,0.432389236665665,0.690421212224009,-6.07535705099697
"TC013272",-0.102999108515703,4.52636730428704,-0.820503024321483,0.413868977000788,0.678422596400466,-6.07556573995239
"TC005494",-0.0713656294356413,4.49020171412204,-0.790875462690891,0.430876851719542,0.689258518205055,-6.07576772756889
"TC009339",-0.0769731388723252,3.85138785298033,-0.640429189261671,0.523349376834764,0.756514533372346,-6.07577154089973
"TC009151",0.0450055402975579,6.58614943182823,1.01953657869358,0.310393402514898,0.587697889420043,-6.07577537029616
"TC014078",-0.114650279809856,4.78717253116183,-0.853488353753337,0.3954157756271,0.663361613397407,-6.07629549247202
"TC015668",-0.0440899983050164,3.46493655862589,-0.436072258296955,0.663718469658009,0.845472737291178,-6.07674100893398
"TC003938",0.0694907114695429,5.09115313667895,0.917556524640493,0.36104518952955,0.635384412169026,-6.07691105557097
"TC015033",-0.0484872393020623,6.35744943199435,-1.01374629761168,0.313135303620807,0.590175056382774,-6.0770553734773
"TC012778",0.032023522318819,3.31667772233869,0.285464750079687,0.775874906767852,0.901927193456336,-6.07733251743899
"TC012557",-0.0399864179409006,3.22888713224802,-0.31383758349917,0.754294104344042,0.890697022677327,-6.07760581094014
"TC011647",-0.0358484012669668,7.83768321519347,-0.978588645119678,0.330130249290481,0.606536720365218,-6.07770494484739
"TC013477",-0.0346074189410912,9.9633265461318,-0.887513104849545,0.376919231945614,0.650506812046726,-6.07826546239695
