"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC004436",-0.0223203809454591,3.96621047216237,-0.448845700080554,0.653748575868084,0.710311629301636,-7.53120744842595
"TC003447",-0.011816626015861,4.50911496639351,-0.642987737581552,0.520543695391303,0.587526497056931,-7.53154903360808
"TC009504",-0.0135768581316023,6.88668155481527,-0.921282843166519,0.357372523710766,0.425322393818436,-7.53181419833803
"TC012282",0.0464311302220689,7.39706568255797,0.902922973856548,0.367026459767733,0.435373545581413,-7.53332265625917
"TC007711",0.0137932916320836,5.91794836846147,0.89943355434994,0.368879531207883,0.437288728648148,-7.53352836348241
"TC000135",-0.00992113913112953,3.50371457295124,-0.158387065994192,0.874219417783861,0.900079032946144,-7.53372406864708
"TC005774",-0.0171824277006059,4.30031922580286,-0.57297019096242,0.566937209605287,0.630203508886512,-7.53433441003313
"TC012560",-0.0368065709970782,4.09354301586028,-0.493547532055846,0.621854893793234,0.681437532843668,-7.53472158725031
"TC030544",-0.0177497165207939,4.01191752265933,-0.463837417295739,0.642977661196153,0.700314730377613,-7.53531057888464
"TC008998",0.0305200334366076,5.68339934437131,0.872800873593902,0.383214572999892,0.452057312433901,-7.53618809852087
"TC009585",0.0375096513865079,6.55668533398743,0.912871782497314,0.361775130299067,0.43000966188232,-7.5365198886924
"TC001104",-0.0157573165350305,5.87550736886707,-0.89386284671036,0.371849955577443,0.440506493706388,-7.53728464751204
"TC013046",-0.0396182110299128,6.14800993747299,-0.90843492901926,0.364111194691752,0.432487535030355,-7.53832966095155
"TC009822",0.0342765487189843,5.7966904578163,0.87735664810595,0.380738448601472,0.449544783382457,-7.53892604375625
"TC004604",0.0122197746472663,4.19262666167127,0.520133703740682,0.603213791068614,0.663788713983856,-7.53928354507035
"TC013590",-0.0166302112977379,4.29017915797801,-0.557325065686315,0.577569045050315,0.640131051862778,-7.53989476665785
"TC005756",0.0161598537778048,5.81292514994536,0.881781134265618,0.378343140186263,0.447099051836244,-7.54096607872074
"TC012638",0.00426699513187218,3.53860225754453,0.106151321837992,0.915507305636875,0.933648444557955,-7.54136649601285
"TC013109",0.0165241248602456,5.58939606510802,0.859518687185472,0.390489910512876,0.459424579162423,-7.54139929880458
"TC004434",-0.034033585199822,5.25142165391876,-0.806251612934306,0.420503040240524,0.489570583296271,-7.54226199714712
"TC005977",0.0113046460309235,3.6392442040571,0.244857872069514,0.80667269453537,0.843221878334299,-7.54234541100769
"TC014240",0.0215744791807614,4.31990727831516,0.56391470718122,0.573079504494666,0.635740279350522,-7.5427595130644
"TC013872",-0.0176553703011462,4.72450553081551,-0.687156103540992,0.492321204320198,0.560240410434483,-7.54333176888844
"TC014440",-0.017119265112017,8.47314297154219,-0.840512541231935,0.401045835780746,0.47014455371435,-7.54594086670181
"TC007577",-0.01637580013138,4.44665944726256,-0.596801723805068,0.550925368168355,0.615701021608342,-7.54740999575608
"TC013829",0.0186388561282996,4.63883374758842,0.656799316337184,0.511629457360923,0.578712647224345,-7.54779050594189
