Sample	FitnessAssay	Library	Sequencing	Time	Condition
706-2CT	M2.T4.A	Lib18	NS50	Jul.16	CT
706-4HD	M2.T3.B	Lib18	NS50	Jul.16	HD
706-3HD	M2.T3.B	Lib18	NS50	Jul.16	HD
118-3CT	M1.T1.A	Lib19	NS50	Jul.16	CT
118-4HD	M1.T2.B	Lib19	NS50	Jul.16	HD
363-3CT	M1.T4.A	Lib19	NS50	Jul.16	CT
363-4HD	M1.T1.B	Lib19	NS50	Jul.16	HD
793-3CT	M3.T2.A	Lib19	NS50	Jul.16	CT
499-3HD	M2.T3.B	Lib20	NS50	Jul.16	HD
236-2CT	M1.T3.A	Lib11	NS54	Jul.16	CT
236-3HD	M1.T4.B	Lib11	NS54	Jul.16	HD
629-2CT	M2.T3.A	Lib11	NS54	Jul.16	CT
629-3HD	M2.T1.B	Lib11	NS54	Jul.16	HD
227-2CT	M1.T1.A	Lib12	NS54	Jul.16	CT
620-2CT	M2.T2.A	Lib12	NS54	Jul.16	CT
620-3HD	M2.T1.B	Lib12	NS54	Jul.16	HD
996-2CT	M3.T2.A	Lib12	NS54	Jul.16	CT
996-3HD	M3.T3.B	Lib12	NS54	Jul.16	HD
39-2CT	M.T1.A	Lib13	NS54	Jul.16	CT
39-3HD	M1.T1.B	Lib13	NS54	Jul.16	HD
354-2CT	M1.T1.A	Lib13	NS54	Jul.16	CT
354-3HD	M1.T4.B	Lib13	NS54	Jul.16	HD
987-2CT	M3.T1.A	Lib13	NS54	Jul.16	CT
987-3HD	M3.T2.B	Lib13	NS54	Jul.16	HD
23-2CT	M1.T2.A	Lib14	NS54	Jul.16	CT
23-4HD	M1.T4.B	Lib14	NS54	Jul.16	HD
407-2CT	M1.T4.A	Lib14	NS54	Jul.16	CT
407-3HD	M1.T1.B	Lib14	NS54	Jul.16	HD
721-2CT	M2.T1.A	Lib14	NS54	Jul.16	CT
721-3HD	M2.T2.B	Lib14	NS54	Jul.16	HD
390-1HD	M1.T3.B	Lib15	NS54	Jul.16	HD
774-4CT	M3.T1.A	Lib15	NS54	Jul.16	CT
316-4CT	M1.T3.A	Lib16	NS54	Jul.16	CT
316-4HD	M1.T2.B	Lib16	NS54	Jul.16	HD
499-4CT	M2.T4.A	Lib16	NS54	Jul.16	CT
499-4HD	M2.T3.B	Lib16	NS54	Jul.16	HD
1088-4CT	M3.T1.A	Lib16	NS54	Jul.16	CT
106-1HD	M1.T3.B	Lib17	NS54	Jul.16	HD
426-1CT	M1.T3.A	Lib17	NS54	Jul.16	CT
426-1HD	M1.T1.B	Lib17	NS54	Jul.16	HD
757-1HD	M3.T2.B	Lib17	NS54	Jul.16	HD
234-4CT	M1.T2.A	Lib18	NS54	Jul.16	CT
385-4CT	M1.T4.A	Lib18	NS54	Jul.16	CT
706-4CT	M2.T4.A	Lib18	NS54	Jul.16	CT
118-1HD	M1.T2.B	Lib19	NS54	Jul.16	HD
793-4HD	M3.T4.B	Lib19	NS54	Jul.16	HD
793-1HD	M3.T4.B	Lib19	NS54	Jul.16	HD
385-1CT	M1.T4.A	Lib20	NS54	Jul.16	CT
363-1HD	M1.T1.B	Lib20	NS54	Jul.16	HD
511-2CT	M2.T4.A	Lib1.B	NS78	Feb.17	CT
511-4CT	M2.T4.A	Lib1.B	NS78	Feb.17	CT
119-1CT	M1.T3.A	Lib2.B	NS78	Feb.17	CT
119-2HD	M1.T2.B	Lib2.B	NS78	Feb.17	HD
281-1CT	M1.T3.A	Lib2.B	NS78	Feb.17	CT
281-2HD	M1.T2.B	Lib2.B	NS78	Feb.17	HD
698-1CT	M2.T4.A	Lib2.B	NS78	Feb.17	CT
698-2HD	M2.T3.B	Lib2.B	NS78	Feb.17	HD
730-1CT	M2.T3.A	Lib2.B	NS78	Feb.17	CT
730-2HD	M2.T4.B	Lib2.B	NS78	Feb.17	HD
878-1CT	M3.T2.A	Lib2.B	NS78	Feb.17	CT
878-2HD	M3.T3.B	Lib2.B	NS78	Feb.17	HD
1097-1CT	M3.T1.A	Lib2.B	NS78	Feb.17	CT
1097-2HD	M3.T2.B	Lib2.B	NS78	Feb.17	HD
7-1CT	M1.T1.A	Lib3.B	NS78	Feb.17	CT
7-2HD	M1.T4.B	Lib3.B	NS78	Feb.17	HD
512-1CT	M2.T4.A	Lib3.B	NS78	Feb.17	CT
866-2CT	M3.T4.A	Lib3.B	NS78	Feb.17	CT
1065-1CT	M3.T3.A	Lib3.B	NS78	Feb.17	CT
1065-2HD	M3.T4.B	Lib3.B	NS78	Feb.17	HD
141-3CT	M1.T1.A	Lib4.B	NS78	Feb.17	CT
901-1HD	M3.T1.B	Lib4.B	NS78	Feb.17	HD
901-3HD	M3.T1.B	Lib4.B	NS78	Feb.17	HD
141-4CT	M1.T1.A	Lib5.B	NS78	Feb.17	CT
534-4HD	M2.T1.B	Lib5.B	NS78	Feb.17	HD
619-3HD	M2.T1.B	Lib5.B	NS78	Feb.17	HD
374-4HD	M1.T3.B	Lib6.B	NS78	Feb.17	HD
752-3HD	M3.T2.B	Lib6.B	NS78	Feb.17	HD
879-4HD	M3.T1.B	Lib6.B	NS78	Feb.17	HD
18-1CT	M1.T4.A	Lib7.B	NS78	Feb.17	CT
18-1HD	M1.T2.B	Lib7.B	NS78	Feb.17	HD
289-2CT	M1.T1.A	Lib7.B	NS78	Feb.17	CT
289-1HD	M1.T4.B	Lib7.B	NS78	Feb.17	HD
627-2HD	M2.T4.B	Lib7.B	NS78	Feb.17	HD
741-3CT	M3.T3.A	Lib7.B	NS78	Feb.17	CT
741-2HD	M3.T2.B	Lib7.B	NS78	Feb.17	HD
741-3HD	M3.T2.B	Lib8.B	NS78	Feb.17	HD
994-1CT	M3.T2.A	Lib8.B	NS78	Feb.17	CT
994-2HD	M3.T1.B	Lib8.B	NS78	Feb.17	HD
1073-1CT	M3.T3.A	Lib8.B	NS78	Feb.17	CT
1073-2HD	M3.T2.B	Lib8.B	NS78	Feb.17	HD
511-2HD	M2.T3.B	Lib1.B	NS79	Feb.17	HD
511-1HD	M2.T3.B	Lib1.B	NS79	Feb.17	HD
119-2CT	M1.T3.A	Lib2.B	NS79	Feb.17	CT
119-3HD	M1.T2.B	Lib2.B	NS79	Feb.17	HD
281-2CT	M1.T3.A	Lib2.B	NS79	Feb.17	CT
281-3HD	M1.T2.B	Lib2.B	NS79	Feb.17	HD
698-2CT	M2.T4.A	Lib2.B	NS79	Feb.17	CT
698-3HD	M2.T3.B	Lib2.B	NS79	Feb.17	HD
730-2CT	M2.T3.A	Lib2.B	NS79	Feb.17	CT
730-3HD	M2.T4.B	Lib2.B	NS79	Feb.17	HD
878-2CT	M3.T2.A	Lib2.B	NS79	Feb.17	CT
878-3HD	M3.T3.B	Lib2.B	NS79	Feb.17	HD
1097-2CT	M3.T1.A	Lib2.B	NS79	Feb.17	CT
1097-3HD	M3.T2.B	Lib2.B	NS79	Feb.17	HD
7-2CT	M1.T1.A	Lib3.B	NS79	Feb.17	CT
7-3HD	M1.T4.B	Lib3.B	NS79	Feb.17	HD
512-2CT	M2.T4.A	Lib3.B	NS79	Feb.17	CT
866-3CT	M3.T4.A	Lib3.B	NS79	Feb.17	CT
866-4HD	M3.T2.B	Lib3.B	NS79	Feb.17	HD
1065-2CT	M3.T3.A	Lib3.B	NS79	Feb.17	CT
1065-3HD	M3.T4.B	Lib3.B	NS79	Feb.17	HD
289-2HD	M1.T4.B	Lib4.B	NS79	Feb.17	HD
901-4HD	M3.T1.B	Lib4.B	NS79	Feb.17	HD
901-2HD	M3.T1.B	Lib4.B	NS79	Feb.17	HD
534-3CT	M2.T4.A	Lib5.B	NS79	Feb.17	CT
619-4HD	M2.T1.B	Lib5.B	NS79	Feb.17	HD
986-1HD	M3.T4.B	Lib5.B	NS79	Feb.17	HD
986-4HD	M3.T4.B	Lib5.B	NS79	Feb.17	HD
374-4CT	M1.T1.A	Lib6.B	NS79	Feb.17	CT
512-4HD	M2.T3.B	Lib6.B	NS79	Feb.17	HD
752-4CT	M3.T4.A	Lib6.B	NS79	Feb.17	CT
752-1CT	M3.T4.A	Lib6.B	NS79	Feb.17	CT
18-2HD	M1.T2.B	Lib7.B	NS79	Feb.17	HD
627-2CT	M2.T1.A	Lib7.B	NS79	Feb.17	CT
741-4CT	M3.T3.A	Lib7.B	NS79	Feb.17	CT
141-2CT	M1.T1.A	Lib8.B	NS79	Feb.17	CT
866-3HD	M3.T2.B	Lib8.B	NS79	Feb.17	HD
