Sample	Sample2	Selection	Treatment	group	batch	batch2
L6D-5-3CT	L6D-5-3CT	D	CT	D.CT	NS119	year2017
L5H-13-4H	L5H-13-4H	H	H	H.H	NS119	year2017
L2H-8-3H	L2H-8-3H	H	H	H.H	NS209	year2018
M3CT-11-1CT	Mx3CT-11-1CT	CT	CT	CT.CT	NS209	year2018
M1HD-3-1HD	Mx1HD-3-1HD	HD	HD	HD.HD	NS209	year2018
M1HD-3-1CT	Mx1HD-3-1CT	HD	CT	HD.CT	NS209	year2018
L6HD-12-4CT	L6HD-12-4CT	HD	CT	HD.CT	NS209	year2018
L6HD-12-4HD	L6HD-12-4HD	HD	HD	HD.HD	NS209	year2018
L6HD-12-3HD	L6HD-12-3HD	HD	HD	HD.HD	NS209	year2018
L5D-3-3CT	L5D-3-3CT	D	CT	D.CT	NS209	year2018
L6CT-8-4HD	L6CT-8-4HD	CT	HD	CT.HD	NS209	year2018
L3CT-5-4D	L3CT-5-4D	CT	D	CT.D	NS209	year2018
L6CT-8-4CT	L6CT-8-4CT	CT	CT	CT.CT	NS209	year2018
L6CT-8-2HD	L6CT-8-2HD	CT	HD	CT.HD	NS209	year2018
L3CT-5-2D	L3CT-5-2D	CT	D	CT.D	NS209	year2018
L3CT-5-2CT	L3CT-5-2CT	CT	CT	CT.CT	NS209	year2018
L3CT-5-1H	L3CT-5-1H	CT	H	CT.H	NS209	year2018
L3CT-5-3H	L3CT-5-3H	CT	H	CT.H	NS209	year2018
L5HD-4-2HD	L5HD-4-2HD	HD	HD	HD.HD	NS209	year2018
L5HD-4-3CT	L5HD-4-3CT	HD	CT	HD.CT	NS209	year2018
L6HD-12-2HD	L6HD-12-2HD	HD	HD	HD.HD	NS209	year2018
L2H-9-2CT	L2H-9-2CT	H	CT	H.CT	NS209	year2018
L3H-8-2H	L3H-8-2H	H	H	H.H	NS209	year2018
L3CT-5-3CT	L3CT-5-3CT	CT	CT	CT.CT	NS209	year2018
L3CT-5-2HD	L3CT-5-2HD	CT	HD	CT.HD	NS209	year2018
L3CT-5-4HD	L3CT-5-4HD	CT	HD	CT.HD	NS209	year2018
L5D-3-1CT	L5D-3-1CT	D	CT	D.CT	NS209	year2018
L5D-3-4D	L5D-3-4D	D	D	D.D	NS209	year2018
L2H-8-2H	L2H-8-2H	H	H	H.H	NS209	year2018
L2H-8-4CT	L2H-8-4CT	H	CT	H.CT	NS209	year2018
M1HD-3-2CT	Mx1HD-3-2CT	HD	CT	HD.CT	NS209	year2018
L5HD-4-1CT	L5HD-4-1CT	HD	CT	HD.CT	NS209	year2018
L5HD-4-4HD	L5HD-4-4HD	HD	HD	HD.HD	NS209	year2018
L5HD-4-3HD	L5HD-4-3HD	HD	HD	HD.HD	NS209	year2018
L5HD-4-4CT	L5HD-4-4CT	HD	CT	HD.CT	NS209	year2018
L3H-15-4CT	L3H-15-4CT	H	CT	H.CT	NS209	year2018
L3H-8-1H	L3H-8-1H	H	H	H.H	NS210	year2018
L3H-15-2CT	L3H-15-2CT	H	CT	H.CT	NS210	year2018
L6HD-12-1CT	L6HD-12-1CT	HD	CT	HD.CT	NS210	year2018
M1HD-3-2HD	Mx1HD-3-2HD	HD	HD	HD.HD	NS210	year2018
M1HD-3-3CT	Mx1HD-3-3CT	HD	CT	HD.CT	NS210	year2018
M3CT-11-3CT	Mx3CT-11-3CT	CT	CT	CT.CT	NS210	year2018
L3CT-5-3D	L3CT-5-3D	CT	D	CT.D	NS210	year2018
L3CT-5-2H	L3CT-5-2H	CT	H	CT.H	NS210	year2018
L3CT-5-1CT	L3CT-5-1CT	CT	CT	CT.CT	NS210	year2018
L3CT-5-3HD	L3CT-5-3HD	CT	HD	CT.HD	NS210	year2018
L2H-8-1H	L2H-8-1H	H	H	H.H	NS210	year2018
L2H-8-3CT	L2H-8-3CT	H	CT	H.CT	NS210	year2018
L6CT-8-2CT	L6CT-8-2CT	CT	CT	CT.CT	NS210	year2018
M3CT-11-1HD	Mx3CT-11-1HD	CT	HD	CT.HD	NS210	year2018
M3CT-11-4HD	Mx3CT-11-4HD	CT	HD	CT.HD	NS210	year2018
L3H-15-1H	L3H-15-1H	H	H	H.H	NS210	year2018
L3H-15-3CT	L3H-15-3CT	H	CT	H.CT	NS210	year2018
L2H8-4H	L2H8-4H	H	H	H.H	NS210	year2018
L5HD-4-1HD	L5HD-4-1HD	HD	HD	HD.HD	NS210	year2018
L5HD-4-2CT	L5HD-4-2CT	HD	CT	HD.CT	NS210	year2018
L6HD-12-1HD	L6HD-12-1HD	HD	HD	HD.HD	NS210	year2018
L6HD-12-2CT	L6HD-12-2CT	HD	CT	HD.CT	NS210	year2018
M1HD-3-3HD	Mx1HD-3-3HD	HD	HD	HD.HD	NS210	year2018
M1HD-3-4CT	Mx1HD-3-4CT	HD	CT	HD.CT	NS210	year2018
M2HD-5-2CT	Mx2HD-5-2CT	HD	CT	HD.CT	NS210	year2018
L5D-3-1D	L5D-3-1D	D	D	D.D	NS210	year2018
L5D-3-4CT	L5D-3-4CT	D	CT	D.CT	NS210	year2018
L3H-15-3H	L3H-15-3H	H	H	H.H	NS210	year2018
L6HD-12-3CT	L6HD-12-3CT	HD	CT	HD.CT	NS210	year2018
L6CT-8-2D	L6CT-8-2D	CT	D	CT.D	NS210	year2018
L6CT-8-4D	L6CT-8-4D	CT	D	CT.D	NS210	year2018
L6CT-8-4H	L6CT-8-4H	CT	H	CT.H	NS210	year2018
L3CT-5-1HD	L3CT-5-1HD	CT	HD	CT.HD	NS210	year2018
L6CT-8-3HD	L6CT-8-3HD	CT	HD	CT.HD	NS212	year2018
M1CT-1-3HD	Mx1CT-1-3HD	CT	HD	CT.HD	NS212	year2018
M1CT-1-1CT	Mx1CT-1-1CT	CT	CT	CT.CT	NS212	year2018
M1CT-1-3CT	Mx1CT-1-3CT	CT	CT	CT.CT	NS212	year2018
L5D-3-2D	L5D-3-2D	D	D	D.D	NS212	year2018
